event_key,event_name,start_date,end_date,event_type,historical_adr_uplift_pct
1,BBK Live,2019-07-11,2019-07-13,Music Festival,29.4
2,Aste Nagusia,2019-08-17,2019-08-25,Cultural,24.1
3,Bilbao Marathon,2019-11-17,2019-11-17,Sports,-0.9
4,BBK Live,2022-07-07,2022-07-09,Music Festival,29.4
5,Aste Nagusia,2022-08-20,2022-08-28,Cultural,24.1
6,Bilbao Marathon,2022-11-20,2022-11-20,Sports,-0.9
7,BBK Live,2023-07-13,2023-07-15,Music Festival,29.4
8,Aste Nagusia,2023-08-19,2023-08-27,Cultural,24.1
9,Bilbao Marathon,2023-11-19,2023-11-19,Sports,-0.9
10,BBK Live,2024-07-11,2024-07-13,Music Festival,29.4
11,Aste Nagusia,2024-08-17,2024-08-25,Cultural,24.1
12,Bilbao Marathon,2024-11-17,2024-11-17,Sports,-0.9
13,BBK Live,2025-07-10,2025-07-12,Music Festival,29.4
14,Aste Nagusia,2025-08-16,2025-08-24,Cultural,24.1
15,Bilbao Marathon,2025-11-16,2025-11-16,Sports,-0.9
