apt_id,building_code,building_public,apt_public
2690378,A,Edificio A — Urban District,A-01
2690883,A,Edificio A — Urban District,A-02
2690908,B,Edificio B — City Center,B-01
2690913,B,Edificio B — City Center,B-02
2690918,B,Edificio B — City Center,B-03
2690923,B,Edificio B — City Center,B-04
2690903,B,Edificio B — City Center,B-05
2690948,B,Edificio B — City Center,B-06
2690898,B,Edificio B — City Center,B-07
2690938,B,Edificio B — City Center,B-08
2690933,B,Edificio B — City Center,B-09
2690978,C,Edificio C — Riverside,C-01
2690983,C,Edificio C — Riverside,C-02
2690988,C,Edificio C — Riverside,C-03
2690993,C,Edificio C — Riverside,C-04
2690998,C,Edificio C — Riverside,C-05
2691003,C,Edificio C — Riverside,C-06
2691008,C,Edificio C — Riverside,C-07
2691013,C,Edificio C — Riverside,C-08
2691018,C,Edificio C — Riverside,C-09
2691033,D,Edificio D — Old Quarter,D-01
2691048,D,Edificio D — Old Quarter,D-02
2691043,D,Edificio D — Old Quarter,D-03
2691058,D,Edificio D — Old Quarter,D-04
2691063,D,Edificio D — Old Quarter,D-05
2691053,D,Edificio D — Old Quarter,D-06
2691038,D,Edificio D — Old Quarter,D-07
2691073,D,Edificio D — Old Quarter,D-08
2691088,E,Edificio E — Budget Inn,E-01
2691093,E,Edificio E — Budget Inn,E-02
2691098,E,Edificio E — Budget Inn,E-03
2691103,E,Edificio E — Budget Inn,E-04
2691108,E,Edificio E — Budget Inn,E-05
2691113,E,Edificio E — Budget Inn,E-06
2691118,E,Edificio E — Budget Inn,E-07
2691123,E,Edificio E — Budget Inn,E-08
2691133,E,Edificio E — Budget Inn,E-09
2691138,E,Edificio E — Budget Inn,E-10
2691143,E,Edificio E — Budget Inn,E-11
2691148,E,Edificio E — Budget Inn,E-12
2691153,E,Edificio E — Budget Inn,E-13
2691158,E,Edificio E — Budget Inn,E-14
2691168,E,Edificio E — Budget Inn,E-15
2691173,E,Edificio E — Budget Inn,E-16
2691178,E,Edificio E — Budget Inn,E-17
