edificio,year,week_iso,semana,mes,mes_num,ocupacion_pred_pct,adr_recomendado,adr_finde,rango_min,rango_max,revpar_estimado,is_evento,evento,is_festivo,festivo,senal_demanda,ajustes,apt_public
A,2026,27,29-Jun a 05-Jul,June,6,97.1,94.44,137.26,84.99,103.88,91.72,False,,False,,Alta — subir precio,Ocupación alta esperada,A-01
B,2026,27,29-Jun a 05-Jul,June,6,86.7,134.68,195.99,121.22,148.15,116.78,False,,False,,Alta — subir precio,Ocupación alta esperada,B-01
C,2026,27,29-Jun a 05-Jul,June,6,85.3,117.67,182.13,105.91,129.44,100.39,False,,False,,Alta — subir precio,Ocupación alta esperada,C-01
D,2026,27,29-Jun a 05-Jul,June,6,93.8,141.99,197.7,127.8,156.19,133.22,False,,False,,Alta — subir precio,Ocupación alta esperada,D-01
E,2026,27,29-Jun a 05-Jul,June,6,98.5,52.52,77.26,47.27,57.77,51.72,False,,False,,Alta — subir precio,Ocupación alta esperada,E-01
A,2026,28,06-Jul a 12-Jul,July,7,89.8,107.14,129.45,96.43,117.85,96.23,True,BBK Live,False,,Alta — subir precio,Evento: BBK Live (+29% hist.) | Ocupación alta esperada,A-01
B,2026,28,06-Jul a 12-Jul,July,7,88.9,151.53,190.96,136.38,166.69,134.66,True,BBK Live,False,,Alta — subir precio,Evento: BBK Live (+29% hist.) | Ocupación alta esperada,B-01
C,2026,28,06-Jul a 12-Jul,July,7,86.3,142.72,181.2,128.45,156.99,123.15,True,BBK Live,False,,Alta — subir precio,Evento: BBK Live (+29% hist.) | Ocupación alta esperada,C-01
D,2026,28,06-Jul a 12-Jul,July,7,94.4,151.9,191.71,136.71,167.09,143.41,True,BBK Live,False,,Alta — subir precio,Evento: BBK Live (+29% hist.) | Ocupación alta esperada,D-01
E,2026,28,06-Jul a 12-Jul,July,7,98.3,61.39,78.65,55.26,67.53,60.32,True,BBK Live,False,,Alta — subir precio,Evento: BBK Live (+29% hist.) | Ocupación alta esperada,E-01
A,2026,29,13-Jul a 19-Jul,July,7,90.6,103.21,125.84,92.89,113.53,93.5,False,,False,,Alta — subir precio,Ocupación alta esperada,A-01
B,2026,29,13-Jul a 19-Jul,July,7,84.3,147.99,189.64,133.19,162.79,124.8,False,,False,,Alta — subir precio,Ocupación alta esperada,B-01
C,2026,29,13-Jul a 19-Jul,July,7,86.6,145.27,182.3,130.75,159.8,125.84,False,,False,,Alta — subir precio,Ocupación alta esperada,C-01
D,2026,29,13-Jul a 19-Jul,July,7,94.2,153.44,192.07,138.1,168.79,144.56,False,,False,,Alta — subir precio,Ocupación alta esperada,D-01
E,2026,29,13-Jul a 19-Jul,July,7,97.9,57.04,71.38,51.33,62.74,55.84,False,,False,,Alta — subir precio,Ocupación alta esperada,E-01
A,2026,30,20-Jul a 26-Jul,July,7,91.2,119.71,131.49,107.74,131.68,109.19,False,,True,Santiago Apóstol,Alta — subir precio,Festivo: Santiago Apóstol | Ocupación alta esperada,A-01
B,2026,30,20-Jul a 26-Jul,July,7,89.1,152.45,191.09,137.2,167.69,135.76,False,,True,Santiago Apóstol,Alta — subir precio,Festivo: Santiago Apóstol | Ocupación alta esperada,B-01
C,2026,30,20-Jul a 26-Jul,July,7,85.9,144.2,180.95,129.78,158.62,123.8,False,,True,Santiago Apóstol,Alta — subir precio,Festivo: Santiago Apóstol | Ocupación alta esperada,C-01
D,2026,30,20-Jul a 26-Jul,July,7,94.4,153.58,198.59,138.23,168.94,145.0,False,,True,Santiago Apóstol,Alta — subir precio,Festivo: Santiago Apóstol | Ocupación alta esperada,D-01
E,2026,30,20-Jul a 26-Jul,July,7,98.1,61.3,74.36,55.17,67.43,60.12,False,,True,Santiago Apóstol,Alta — subir precio,Festivo: Santiago Apóstol | Ocupación alta esperada,E-01
A,2026,31,27-Jul a 02-Aug,July,7,90.9,116.03,130.17,104.43,127.63,105.52,False,,True,San Ignacio de Loyola,Alta — subir precio,Festivo: San Ignacio de Loyola | Ocupación alta esperada,A-01
B,2026,31,27-Jul a 02-Aug,July,7,86.2,160.88,200.07,144.79,176.97,138.72,False,,True,San Ignacio de Loyola,Alta — subir precio,Festivo: San Ignacio de Loyola | Ocupación alta esperada,B-01
