year,building,revenue,total_costs,op_costs,debt_costs,net_profit,ebitda,margin_net,margin_ebitda
2022,Edificio B — City Center,347584.131,151507.26,106852.82,44654.44,196076.87099999998,240731.311,56.4,69.3
2022,Edificio C — Riverside,300687.688,125739.67,75644.72,50094.95,174948.01800000004,225042.96800000002,58.2,74.8
2022,Edificio E — Budget Inn,233206.328,97860.596,55860.596,42000.0,135345.73200000002,177345.73200000002,58.0,76.0
2023,Edificio D — Old Quarter,281044.735,206046.585,212129.6750496,56268.665,74998.15,68915.0599504,26.7,24.5
2023,Edificio B — City Center,400140.791,228498.5245,179623.48454130001,48875.04,171642.26650000003,220517.3064587,42.9,55.1
2023,Edificio C — Riverside,322556.754,216627.0845,170768.98447959998,45858.1,105929.66950000002,151787.76952040003,32.8,47.1
2023,Edificio E — Budget Inn,292678.941,199740.0721,157080.0720778,42660.0,92938.8689,135598.8689222,31.8,46.3
2024,Edificio D — Old Quarter,339058.1,239153.9641,363625.1740939,79864.98,99904.13589999996,-24567.07409390004,29.5,-7.2
2024,Edificio B — City Center,412409.368,223364.5536,171670.350685,50817.86,189044.8144,240739.017315,45.8,58.4
2024,Edificio E — Budget Inn,236766.555,174247.6316,130450.3916149,43797.24,62518.9234,106316.1633851,26.4,44.9
2025,Edificio A — Urban District,62512.353,28469.00479,29084.8447859,0.0,34043.348210000004,33427.5082141,54.5,53.5
2025,Edificio D — Old Quarter,386611.797,220076.2729,397517.1815242408,69494.22,166535.5241,-10905.384524240799,43.1,-2.8
2025,Edificio B — City Center,373085.127,203625.6878,149396.2119316,52103.4,169459.43919999996,223688.91506839998,45.4,60.0
2025,Edificio E — Budget Inn,222559.778,166502.1194,106656.3979626,57386.64,56057.658599999995,115903.3800374,25.2,52.1
