year_month,year,month,property_key,revenue_gross,revenue_net,reservations,avg_adr,avg_adr_net,total_nights,avg_lead_time,cancellations,cancel_rate_pct,building_name_public,segment,booking_score
2019-05,2019,5,1,418.0,355.31,7,59.71,50.76,7,,0,0.0,Edificio A - Urban District,Urban / Economy,6.32
2019-06,2019,6,1,9221.88,8375.42,55,100.24,89.2,80,1.0,11,20.0,Edificio A - Urban District,Urban / Economy,6.32
2019-07,2019,7,1,9382.85,8418.07,45,122.53,108.94,77,,12,26.7,Edificio A - Urban District,Urban / Economy,6.32
2019-08,2019,8,1,11580.119999999999,10394.69,39,149.98,132.41,68,,6,15.4,Edificio A - Urban District,Urban / Economy,6.32
2019-08,2019,8,2,31169.6,27051.4,93,158.51,136.76,192,,15,16.1,Edificio B - City Center,Urban / Mid-scale,8.04
2019-09,2019,9,1,8025.11,7224.88,36,107.52,94.67,67,,8,22.2,Edificio A - Urban District,Urban / Economy,6.32
2019-09,2019,9,2,35362.43,31751.12293,132,116.4,103.14,296,,41,31.1,Edificio B - City Center,Urban / Mid-scale,8.04
2019-10,2019,10,1,6915.88,6015.14,31,91.62,79.28,72,,6,19.4,Edificio A - Urban District,Urban / Economy,6.32
2019-10,2019,10,2,31362.8,27223.00415,98,130.4,112.3,225,,18,18.4,Edificio B - City Center,Urban / Mid-scale,8.04
2019-11,2019,11,1,3719.03,3294.17013,22,66.29,58.31,57,23.0,7,31.8,Edificio A - Urban District,Urban / Economy,6.32
2019-11,2019,11,2,19968.5,17244.7425,81,97.93,83.74,220,21.9,15,18.5,Edificio B - City Center,Urban / Mid-scale,8.04
2019-12,2019,12,1,5024.45,4515.45405,29,80.77,71.66,62,22.185185185185187,7,24.1,Edificio A - Urban District,Urban / Economy,6.32
2019-12,2019,12,2,21019.0,19262.432,90,93.3,82.8,216,22.31764705882353,23,25.6,Edificio B - City Center,Urban / Mid-scale,8.04
2020-01,2020,1,1,3935.0,3493.323,23,55.0,48.15,74,23.47826086956522,6,26.1,Edificio A - Urban District,Urban / Economy,6.32
