building_code,building_public,mes_llegada,n_reservas,adr_real,revenue_total,noches_totales,precio_cal_mediana,precio_cal_p25,precio_cal_p75,dias_disponibles,dias_totales,pricing_gap,ocupacion_pct,alerta_infraventas
E,Edificio E — Budget Inn,2025-12,10,42.6,867.6,20,25.0,25.0,40.0,47.0,434.0,17.6,89.2,False
E,Edificio E — Budget Inn,2026-01,214,30.0,10373.0,328,25.0,20.0,35.0,64.0,431.0,5.0,85.2,False
E,Edificio E — Budget Inn,2026-02,191,30.0,9762.0,302,25.0,20.0,35.0,61.0,392.0,5.0,84.4,False
E,Edificio E — Budget Inn,2026-03,209,32.0,12337.0,338,28.0,25.0,35.59,30.0,435.0,4.0,93.1,False
E,Edificio E — Budget Inn,2026-04,251,36.0,15867.2,381,30.0,25.0,39.9575,29.0,450.0,6.0,93.6,False
E,Edificio E — Budget Inn,2026-05,174,54.0,22037.6,281,42.0,34.0,50.0,149.0,465.0,12.0,68.0,False
E,Edificio E — Budget Inn,2026-06,63,61.0,5670.6,89,40.0,34.0,46.0,295.0,424.0,21.0,30.4,False
E,Edificio E — Budget Inn,2026-07,49,64.8,8086.2,109,50.0,38.0,55.0,324.0,434.0,14.8,25.3,False
E,Edificio E — Budget Inn,2026-08,4,102.0,1373.0,13,67.0,51.0,68.0,421.0,434.0,35.0,3.0,False
E,Edificio E — Budget Inn,2026-09,2,65.08571428571429,1416.0,24,51.0,34.0,51.0,396.0,420.0,14.1,5.7,False
A,Edificio A — Urban District,2025-12,2,92.61,740.88,8,50.0,40.0,65.0,5.0,62.0,42.6,91.9,False
A,Edificio A — Urban District,2026-01,28,48.6,3023.32,54,45.0,40.0,60.0,7.0,62.0,3.6,88.7,False
A,Edificio A — Urban District,2026-02,33,43.2,2708.1,50,40.0,35.0,55.0,4.0,56.0,3.2,92.9,False
A,Edificio A — Urban District,2026-03,34,56.0,3713.5,57,52.0,45.0,63.75,2.0,62.0,4.0,96.8,False
A,Edificio A — Urban District,2026-04,36,73.45,4663.6,54,59.5,55.75,74.75,2.0,60.0,14.0,96.7,False
A,Edificio A — Urban District,2026-05,33,72.0,7603.8,59,59.0,55.0,182.0,5.0,62.0,13.0,91.9,False
A,Edificio A — Urban District,2026-06,13,127.44,3175.1,28,70.0,65.0,110.0,30.0,60.0,57.4,50.0,False
A,Edificio A — Urban District,2026-07,15,97.2,3716.56,31,76.0,75.0,123.0,32.0,62.0,21.2,48.4,False
A,Edificio A — Urban District,2026-08,9,142.56,3911.1,28,123.0,106.0,136.0,35.0,62.0,19.6,43.5,False
A,Edificio A — Urban District,2026-09,1,145.2,290.4,2,84.0,73.0,102.0,56.0,60.0,61.2,6.7,False
C,Edificio C — Riverside,2025-12,8,128.66666666666666,2744.9,23,60.0,45.0,75.0,68.0,279.0,68.7,75.6,False
C,Edificio C — Riverside,2026-01,90,63.85,10207.44,147,50.0,45.0,60.0,105.0,279.0,13.8,62.4,False
C,Edificio C — Riverside,2026-02,106,65.0,11451.3,166,45.0,40.0,65.0,66.0,252.0,20.0,73.8,False
C,Edificio C — Riverside,2026-03,135,75.0,19500.32,223,63.0,50.0,80.0,36.0,279.0,12.0,87.1,False
C,Edificio C — Riverside,2026-04,146,85.0,26024.7,236,72.0,60.0,85.0,14.0,270.0,13.0,94.8,False
C,Edificio C — Riverside,2026-05,120,99.95,31014.7,215,75.0,72.0,195.0,51.0,279.0,25.0,81.7,False
C,Edificio C — Riverside,2026-06,69,121.2,16283.38,121,85.0,76.0,138.75,134.0,270.0,36.2,50.4,False
C,Edificio C — Riverside,2026-07,81,144.18,26814.69,163,102.0,93.0,153.0,110.0,279.0,42.2,60.6,False
C,Edificio C — Riverside,2026-08,43,213.0,20103.4,95,169.0,135.0,195.0,182.0,279.0,44.0,34.8,False
C,Edificio C — Riverside,2026-09,4,213.84,974.16,4,135.0,127.0,161.0,266.0,270.0,78.8,1.5,False
B,Edificio B — City Center,2025-12,9,193.66666666666663,5955.4,29,70.0,55.0,90.0,29.0,279.0,123.7,89.6,False
B,Edificio B — City Center,2026-01,113,80.0,14282.2,166,60.0,50.0,70.0,87.0,279.0,20.0,68.8,False
B,Edificio B — City Center,2026-02,121,71.0,16760.9,186,60.0,50.0,85.0,29.0,252.0,11.0,88.5,False
B,Edificio B — City Center,2026-03,139,100.0,25703.0,221,80.0,59.0,105.0,21.0,279.0,20.0,92.5,False
B,Edificio B — City Center,2026-04,119,107.0,28258.0,213,84.0,75.0,127.0,3.0,270.0,23.0,98.9,False
B,Edificio B — City Center,2026-05,113,118.0,35055.0,225,90.0,76.0,199.0,34.0,279.0,28.0,87.8,False
B,Edificio B — City Center,2026-06,89,140.0,28794.0,177,102.0,93.0,152.0,76.0,270.0,38.0,71.9,False
B,Edificio B — City Center,2026-07,86,174.0,34920.8,178,110.0,101.0,178.0,92.0,279.0,64.0,67.0,False
B,Edificio B — City Center,2026-08,42,235.0,22977.4,92,186.0,152.0,203.0,184.0,279.0,49.0,34.1,False
B,Edificio B — City Center,2026-09,7,279.8,4368.4,16,152.0,135.0,184.5,254.0,270.0,127.8,5.9,False
D,Edificio D — Old Quarter,2025-12,6,178.05,1762.2,10,75.0,50.0,125.0,47.0,217.0,103.0,78.3,False
D,Edificio D — Old Quarter,2026-01,65,84.7,10525.7,112,60.0,45.0,90.0,63.0,217.0,24.7,71.0,False
D,Edificio D — Old Quarter,2026-02,67,80.0,13241.6,126,55.0,50.0,75.0,57.0,196.0,25.0,70.9,False
D,Edificio D — Old Quarter,2026-03,76,90.7,17790.1,134,60.0,55.0,100.0,70.0,217.0,30.7,67.7,False
D,Edificio D — Old Quarter,2026-04,104,98.35,30079.6,183,78.0,60.0,120.0,13.0,210.0,20.3,93.8,False
D,Edificio D — Old Quarter,2026-05,77,167.33333333333334,34742.1,152,118.0,75.0,195.0,57.0,217.0,49.3,73.7,False
D,Edificio D — Old Quarter,2026-06,46,141.0,17639.09,94,120.0,76.0,144.0,101.0,210.0,21.0,51.9,False
D,Edificio D — Old Quarter,2026-07,54,201.15,28710.1,118,140.0,85.0,153.0,91.0,217.0,61.2,58.1,False
D,Edificio D — Old Quarter,2026-08,22,252.5,11218.0,42,203.0,160.0,423.0,175.0,217.0,49.5,19.4,False
OTRO,Otros,2025-12,1,25.0,75.0,3,,,,,,,,False
OTRO,Otros,2026-01,4,25.0,150.0,6,,,,,,,,False
OTRO,Otros,2026-02,10,25.0,500.0,20,,,,,,,,False
OTRO,Otros,2026-03,10,25.0,350.0,14,,,,,,,,False
OTRO,Otros,2026-04,9,25.0,375.0,15,,,,,,,,False
OTRO,Otros,2026-05,4,25.0,175.0,7,,,,,,,,False
OTRO,Otros,2026-06,4,25.0,225.0,9,,,,,,,,False
OTRO,Otros,2026-07,4,25.0,200.0,8,,,,,,,,False
