reserva_id,fecha_llegada,fecha_salida,mes_llegada,año_llegada,building_code,building_public,canal,canal_tipo,estado,es_reserva_activa,noches,precio_total,adr,cliente_hash,apt_public
115450336,2025-11-21,2026-01-29,2025-11,2025,D,Edificio D — Old Quarter,Direct booking,Directo,cancellation,False,69,0.0,0.0,68698254,D-01
115452366,2025-11-21,2026-01-30,2025-11,2025,D,Edificio D — Old Quarter,Direct booking,Directo,modification of booking,False,70,32750.0,467.8571428571428,22096246,D-01
115348546,2025-11-26,2026-01-29,2025-11,2025,D,Edificio D — Old Quarter,Direct booking,Directo,cancellation,False,64,0.0,0.0,40525953,D-02
116473216,2025-12-01,2026-01-15,2025-12,2025,C,Edificio C — Riverside,Direct booking,Directo,modification of booking,False,45,4500.0,100.0,34083842,C-01
121176896,2025-12-21,2026-01-04,2025-12,2025,E,Edificio E — Budget Inn,Direct booking,Directo,modification of booking,False,14,475.0,33.92857142857143,30396720,E-01
114035816,2025-12-28,2026-01-01,2025-12,2025,A,Edificio A — Urban District,Booking.com,OTA,reservation,True,4,357.48,89.37,49526883,A-01
114413036,2025-12-28,2026-01-02,2025-12,2025,B,Edificio B — City Center,Booking.com,OTA,reservation,True,5,867.6,173.52,66739061,B-01
115223481,2025-12-28,2026-01-05,2025-12,2025,D,Edificio D — Old Quarter,Booking.com,OTA,cancellation,False,8,7137.6,892.2,35311193,D-03
120813166,2025-12-29,2026-01-01,2025-12,2025,E,Edificio E — Budget Inn,Booking.com,OTA,reservation,True,3,143.0,47.66666666666666,81096967,E-02
121826421,2025-12-29,2026-01-01,2025-12,2025,E,Edificio E — Budget Inn,Booking.com,OTA,reservation,True,3,96.0,32.0,90973706,E-03
112870211,2025-12-29,2026-01-02,2025-12,2025,A,Edificio A — Urban District,Booking.com,OTA,reservation,True,4,383.4,95.85,49596084,A-02
120492596,2025-12-29,2026-01-03,2025-12,2025,C,Edificio C — Riverside,Booking.com,OTA,reservation,True,5,474.3,94.86,54010687,C-02
116973401,2025-12-30,2026-01-01,2025-12,2025,D,Edificio D — Old Quarter,Booking.com,OTA,cancellation,False,2,849.6,424.8,17711094,D-04
116973406,2025-12-30,2026-01-01,2025-12,2025,D,Edificio D — Old Quarter,Booking.com,OTA,cancellation,False,2,495.6,247.8,17711094,D-05
119922676,2025-12-30,2026-01-01,2025-12,2025,C,Edificio C — Riverside,Booking.com,OTA,reservation,True,2,282.6,141.3,69063404,C-03
120800296,2025-12-30,2026-01-01,2025-12,2025,D,Edificio D — Old Quarter,Booking.com,OTA,cancellation,False,2,225.0,112.5,84831376,D-05
120803386,2025-12-30,2026-01-01,2025-12,2025,D,Edificio D — Old Quarter,Booking.com,OTA,reservation,True,2,270.0,135.0,84831376,D-05
121594616,2025-12-30,2026-01-01,2025-12,2025,E,Edificio E — Budget Inn,Airbnb,OTA,reservation,True,2,96.0,48.0,23421489,E-04
121752371,2025-12-30,2026-01-01,2025-12,2025,E,Edificio E — Budget Inn,Airbnb,OTA,modification of booking,False,2,66.0,33.0,26835095,E-05
121814696,2025-12-30,2026-01-01,2025-12,2025,E,Edificio E — Budget Inn,Booking.com,OTA,modification of booking,False,2,66.0,33.0,88834688,E-06
121914971,2025-12-30,2026-01-01,2025-12,2025,E,Edificio E — Budget Inn,Booking.com,OTA,reservation,True,2,86.4,43.2,49046106,E-07
112340206,2025-12-30,2026-01-02,2025-12,2025,B,Edificio B — City Center,Booking.com,OTA,reservation,True,3,486.0,162.0,83669120,B-02
112340211,2025-12-30,2026-01-02,2025-12,2025,B,Edificio B — City Center,Booking.com,OTA,reservation,True,3,474.0,158.0,83669120,B-03
116679781,2025-12-30,2026-01-02,2025-12,2025,B,Edificio B — City Center,Booking.com,OTA,reservation,True,3,525.6,175.20000000000002,90767975,B-04
120470381,2025-12-30,2026-01-02,2025-12,2025,D,Edificio D — Old Quarter,Booking.com,OTA,modification of booking,False,3,369.6,123.2,52659757,D-06
120634656,2025-12-30,2026-01-02,2025-12,2025,C,Edificio C — Riverside,Booking.com,OTA,reservation,True,3,386.0,128.66666666666666,26474780,C-04
