neighbourhood,listing_count,median_price,mean_price,avg_availability,total_reviews_ltm,entire_apt_count,pro_host_count,implied_occupancy,pro_host_pct
AbadiÃ±o,7,110.0,107.0,262.4,42,2,0,28.1,0.0
Abaltzisketa,2,120.0,120.0,20.0,6,2,0,94.5,0.0
Abanto y CiÃ©rvana-Abanto Zierbena,7,85.0,142.7,235.3,68,6,1,35.5,14.3
Aia,29,184.5,274.8,193.8,183,26,3,46.9,10.3
Aizarnazabal,4,80.5,85.0,117.8,21,2,2,67.7,50.0
Ajangiz,9,87.0,81.1,267.1,85,4,0,26.8,0.0
AlegrÃ­a-Dulantzi,1,198.0,198.0,358.0,3,1,0,1.9,0.0
Alkiza,1,225.0,225.0,81.0,6,1,0,77.8,0.0
Alonsotegi,6,53.0,58.6,74.0,66,1,5,79.7,83.3
Altzo,3,114.0,110.0,137.3,38,2,0,62.4,0.0
Amezketa,3,47.0,77.0,177.0,40,1,0,51.5,0.0
Amorebieta-Etxano,7,102.0,109.8,213.1,55,4,0,41.6,0.0
Amurrio,10,203.0,203.9,245.4,53,10,0,32.8,0.0
Andoain,2,263.5,263.5,270.0,80,1,0,26.0,0.0
Antzuola,1,38.0,38.0,364.0,0,0,0,0.3,0.0
Aramaio,2,69.5,69.5,265.0,93,2,0,27.4,0.0
Arantzazu,3,190.0,232.3,242.3,36,3,0,33.6,0.0
Areatza,4,119.0,174.3,220.2,68,4,0,39.7,0.0
Aretxabaleta,8,156.0,232.4,188.1,11,2,8,48.5,100.0
ArmiÃ±Ã³n,1,53.0,53.0,251.0,6,0,0,31.2,0.0
Arraia-Maeztu,5,100.0,194.8,268.2,49,3,0,26.5,0.0
Arrankudiaga,5,203.0,296.7,186.0,20,3,0,49.0,0.0
Arrasate,3,41.0,40.7,353.3,109,0,0,3.2,0.0
Arratzu,5,175.0,360.4,333.0,3,5,0,8.8,0.0
Arrazua-Ubarrundia,2,117.5,117.5,227.5,128,2,0,37.7,0.0
Arrieta,6,171.5,200.0,155.0,74,6,0,57.5,0.0
Arrigorriaga,1,114.0,114.0,143.0,25,1,0,60.8,0.0
