id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_clean,host_type,price_tier
456366,59550,Vizcaya,Bilbao,43.26394,-2.94151,Private room,86.0,2,64,2019-10-11,0.4,2,182,0,BI-0024,86.0,Pequeño (2-3),Economy (€75-120)
456706,59550,Vizcaya,Bilbao,43.26402,-2.94204,Private room,68.0,2,34,2019-10-20,0.21,2,361,0,,68.0,Pequeño (2-3),Budget (<€75)
740932,3227964,Vizcaya,Bilbao,43.27085,-2.92839,Private room,53.0,3,156,2025-06-08,1.05,3,61,2,LBI56,53.0,Pequeño (2-3),Budget (<€75)
872681,4604601,Vizcaya,Bilbao,43.26785,-2.93253,Entire home/apt,124.0,2,200,2025-09-06,1.39,1,86,19,ESFCTU000048022000237293000000000000000000000EBI00459,124.0,Individual (1),Mid-scale (€120-180)
1199219,3227964,Vizcaya,Bilbao,43.27119,-2.92734,Private room,37.0,12,83,2025-08-14,0.65,3,63,8,LBI 56,37.0,Pequeño (2-3),Budget (<€75)
1311566,7127707,Vizcaya,Bilbao,43.25908,-2.9185,Private room,64.0,2,160,2025-09-17,3.23,1,62,20,ESHFTU000048026000505314001000000000000000000LBI04984,64.0,Individual (1),Budget (<€75)
1334785,7238197,Vizcaya,Bilbao,43.25742,-2.9242,Entire home/apt,126.0,5,311,2025-08-24,2.13,1,200,33,ESFCTU00004802600051779900000000000000000000EBI000053,126.0,Individual (1),Mid-scale (€120-180)
1586917,8457487,Vizcaya,Bilbao,43.25797,-2.92556,Private room,74.0,2,33,2024-05-26,0.24,1,77,0,LBI 184,74.0,Individual (1),Budget (<€75)
1858381,8192706,Vizcaya,Bilbao,43.2558,-2.92362,Entire home/apt,76.0,2,567,2025-09-20,3.97,1,232,51,ESFCTU00004802600033987200000000000000000000EBI000088,76.0,Individual (1),Economy (€75-120)
2206507,7593733,Vizcaya,Bilbao,43.2548,-2.92032,Private room,24.0,1,763,2020-09-01,5.62,2,0,0,,24.0,Pequeño (2-3),Budget (<€75)
2214720,11296499,Vizcaya,Bilbao,43.26875,-2.95461,Shared room,21.0,1,132,2025-09-07,0.93,16,73,13,,21.0,Profesional (10+),Budget (<€75)
2337655,11296499,Vizcaya,Bilbao,43.26872,-2.95448,Private room,90.0,1,24,2022-04-18,0.17,16,70,0,,90.0,Profesional (10+),Economy (€75-120)
2371692,11296499,Vizcaya,Bilbao,43.26872,-2.95448,Private room,140.0,1,38,2024-08-24,0.29,16,75,0,,140.0,Profesional (10+),Mid-scale (€120-180)
2435549,11296499,Vizcaya,Bilbao,43.26872,-2.95448,Shared room,20.0,1,105,2025-09-13,0.77,16,69,8,,20.0,Profesional (10+),Budget (<€75)
2675689,13699109,Vizcaya,Bilbao,43.26584,-2.93549,Entire home/apt,185.0,3,112,2025-09-19,0.81,1,318,12,E.BI-917,185.0,Individual (1),Upscale (€180-300)
3285824,7195786,Vizcaya,Bilbao,43.25592,-2.92838,Entire home/apt,126.0,1,160,2025-08-15,1.17,1,27,5,2019RTE0022342,126.0,Individual (1),Mid-scale (€120-180)
3454871,7880662,Vizcaya,Bilbao,43.25765,-2.92464,Entire home/apt,120.0,2,791,2025-09-27,5.79,1,53,84,EBI00003,120.0,Individual (1),Economy (€75-120)
3545616,17799103,Vizcaya,Bilbao,43.27272,-2.94699,Entire home/apt,104.0,2,381,2025-09-22,2.8,1,10,35,ESFCTU00004802100007997100000000000000000000EBI010991,104.0,Individual (1),Economy (€75-120)
3640143,15915408,Vizcaya,Bilbao,43.25564,-2.92195,Entire home/apt,120.0,3,402,2025-09-15,3.01,1,207,23,ESFCTU00004802600026691800000000000000000000EBI000958,120.0,Individual (1),Economy (€75-120)
3819164,12336523,Vizcaya,Bilbao,43.25182,-2.93239,Entire home/apt,84.0,4,653,2025-09-28,4.82,1,75,21,EBI387,84.0,Individual (1),Economy (€75-120)
4322000,17190256,Vizcaya,Bilbao,43.2637,-2.92232,Entire home/apt,171.0,2,548,2025-09-23,4.13,2,94,32,ESFCTU00004802500050976600000000000000000000EBI000446,171.0,Pequeño (2-3),Mid-scale (€120-180)
5244905,10718635,Vizcaya,Bilbao,43.2545,-2.92388,Private room,78.0,2,523,2025-09-28,4.08,1,327,43,ESHFTU00004802700073059100100000000000000000LBI005750,78.0,Individual (1),Economy (€75-120)
6343844,33039701,Vizcaya,Bilbao,43.25689,-2.92923,Private room,40.0,1,673,2025-09-28,5.36,1,73,96,ESHFTU00004802700097786600100000000000000000LBI000043,40.0,Individual (1),Budget (<€75)
6386949,33293247,Vizcaya,Bilbao,43.25686,-2.92479,Hotel room,118.0,1,106,2025-04-21,0.89,4,284,25,,118.0,Mediano (4-10),Economy (€75-120)
6387393,33293247,Vizcaya,Bilbao,43.25861,-2.92572,Hotel room,153.0,1,20,2025-04-17,0.16,4,274,5,,153.0,Mediano (4-10),Mid-scale (€120-180)
6387536,33293247,Vizcaya,Bilbao,43.25654,-2.92492,Hotel room,200.0,1,4,2024-03-26,0.03,4,259,0,,200.0,Mediano (4-10),Upscale (€180-300)
6387632,33293247,Vizcaya,Bilbao,43.25696,-2.92632,Hotel room,148.0,1,1,2018-12-28,0.01,4,281,0,,148.0,Mediano (4-10),Mid-scale (€120-180)
6832010,35704563,Vizcaya,Bilbao,43.25178242783613,-2.931464746953279,Entire home/apt,98.0,2,531,2025-09-06,4.29,1,56,8,ESFCNT00004802700106931700000000000000000000000000008,98.0,Individual (1),Economy (€75-120)
7787836,190724633,Vizcaya,Bilbao,43.25702,-2.92323,Entire home/apt,185.0,1,250,2025-06-19,2.03,7,313,6,ESFCTU00004802600043913800000000000000000000EBI011592,185.0,Mediano (4-10),Upscale (€180-300)
8141781,42008008,Vizcaya,Bilbao,43.25718297991745,-2.9260766117258674,Entire home/apt,120.0,2,249,2025-09-25,2.03,1,251,39,ESFCTU10B14802600050060900000000000000000000EBI032586,120.0,Individual (1),Economy (€75-120)
10503635,50658602,Vizcaya,Bilbao,43.24591,-2.92543,Private room,43.0,2,222,2025-09-29,1.92,1,305,37,,43.0,Individual (1),Budget (<€75)
10558642,54459162,Vizcaya,Bilbao,43.26262,-2.9244,Entire home/apt,172.0,2,186,2025-09-25,1.58,1,268,11,ESFCTU0000480220000358370000000000000000000000EBI5373,172.0,Individual (1),Mid-scale (€120-180)
10993147,57041875,Vizcaya,Bilbao,43.25665,-2.91798,Private room,44.0,2,372,2025-09-21,3.19,1,167,45,L-BI-43,44.0,Individual (1),Budget (<€75)
11264462,58807230,Vizcaya,Bilbao,43.25859,-2.94683,Entire home/apt,158.0,1,432,2025-09-02,3.72,1,231,29,ESFCTU000004802700032871200000000000000000000EBI00264,158.0,Individual (1),Mid-scale (€120-180)
12165763,63591389,Vizcaya,Bilbao,43.25705,-2.91785,Entire home/apt,162.0,3,321,2025-09-14,2.79,2,229,34,,162.0,Pequeño (2-3),Mid-scale (€120-180)
12622537,68529944,Vizcaya,Bilbao,43.266187258736096,-2.9185611153874245,Private room,95.0,2,326,2025-09-14,2.85,1,68,30,LBI00423,95.0,Individual (1),Economy (€75-120)
13161163,63591389,Vizcaya,Bilbao,43.25652,-2.91547,Entire home/apt,162.0,3,278,2025-09-28,2.45,2,239,40,E BI 200,162.0,Pequeño (2-3),Mid-scale (€120-180)
13553030,78044862,Vizcaya,Bilbao,43.26383,-2.95061,Private room,65.0,1,158,2025-09-21,1.43,2,348,21,,65.0,Pequeño (2-3),Budget (<€75)
13724816,34059758,Vizcaya,Bilbao,43.2697,-2.95,Entire home/apt,177.0,2,9,2019-06-30,0.08,1,0,0,,177.0,Individual (1),Mid-scale (€120-180)
13860791,78044862,Vizcaya,Bilbao,43.26446,-2.94903,Private room,75.0,1,170,2025-09-21,1.52,2,351,21,,75.0,Pequeño (2-3),Budget (<€75)
13953592,23741404,Vizcaya,Bilbao,43.25774,-2.92353,Entire home/apt,101.0,1,718,2025-09-19,6.41,1,150,72,ESFCTU00004802600047239500000000000000000000EBI002530,101.0,Individual (1),Economy (€75-120)
13972888,3424674,Vizcaya,Bilbao,43.25633,-2.91576,Private room,60.0,2,401,2025-09-17,3.59,1,10,49,LBI00391,60.0,Individual (1),Budget (<€75)
14050644,75918846,Vizcaya,Bilbao,43.25465,-2.93148,Private room,51.0,3,178,2025-09-28,1.59,2,57,42,ESHFTU0000480270010803120010000000000000000000LBI2360,51.0,Pequeño (2-3),Budget (<€75)
14313040,87496653,Vizcaya,Bilbao,43.26343,-2.93169,Private room,63.0,1,717,2025-09-21,6.44,2,217,110,LBI 194,63.0,Pequeño (2-3),Budget (<€75)
14362203,3754179,Vizcaya,Bilbao,43.26844,-2.93025,Entire home/apt,209.0,2,20,2025-08-17,0.18,1,156,2,ESFCTU00004802600026014500000000000000000000EBI023113,209.0,Individual (1),Upscale (€180-300)
14469236,26647247,Vizcaya,Bilbao,43.25845,-2.92248,Entire home/apt,200.0,2,40,2025-09-05,0.36,1,329,19,ESFCTU00004802600026765600000000000000000000E.BI-9539,200.0,Individual (1),Upscale (€180-300)
14851689,92971966,Vizcaya,Bilbao,43.25711,-2.92518,Entire home/apt,112.0,2,162,2025-07-26,1.47,1,297,2,ESFCTU00004802600020997700000000000000000000EBI003173,112.0,Individual (1),Economy (€75-120)
15034165,90630006,Vizcaya,Bilbao,43.25705,-2.92484,Entire home/apt,101.0,2,423,2025-09-02,3.85,1,71,36,ESFCTU00004802600027846100000000000000000000EBI000343,101.0,Individual (1),Economy (€75-120)
15141503,96023241,Vizcaya,Bilbao,43.261,-2.9388,Private room,95.0,2,279,2025-08-25,2.55,1,255,4,ESHFTU00004802700077312300100000000000000000LBI005383,95.0,Individual (1),Economy (€75-120)
16214472,87496653,Vizcaya,Bilbao,43.26271,-2.92854,Private room,48.0,1,600,2025-09-21,5.82,2,224,90,LBI 194,48.0,Pequeño (2-3),Budget (<€75)
