year_month,review_count,unique_listings,year
2012-07,3,2,2012
2012-08,3,2,2012
2012-11,1,1,2012
2013-03,1,1,2013
2013-05,1,1,2013
2013-07,4,3,2013
2013-10,6,2,2013
2013-11,4,3,2013
2013-12,2,2,2013
2014-01,3,2,2014
2014-02,4,3,2014
2014-03,5,3,2014
2014-04,9,4,2014
2014-05,17,8,2014
2014-06,13,5,2014
2014-07,25,10,2014
2014-08,43,12,2014
2014-09,36,10,2014
2014-10,35,13,2014
2014-11,36,11,2014
2014-12,26,9,2014
2015-01,20,10,2015
2015-02,29,10,2015
2015-03,36,10,2015
2015-04,51,11,2015
2015-05,70,16,2015
2015-06,73,16,2015
2015-07,100,23,2015
2015-08,113,21,2015
2015-09,87,19,2015
2015-10,86,18,2015
2015-11,53,14,2015
2015-12,57,17,2015
2016-01,62,15,2016
2016-02,67,17,2016
2016-03,75,26,2016
2016-04,84,23,2016
2016-05,109,23,2016
2016-06,100,25,2016
2016-07,145,32,2016
2016-08,196,36,2016
2016-09,148,32,2016
2016-10,181,34,2016
2016-11,100,28,2016
2016-12,90,31,2016
2017-01,80,24,2017
2017-02,109,30,2017
2017-03,133,37,2017
2017-04,204,47,2017
2017-05,259,51,2017
2017-06,243,53,2017
2017-07,366,69,2017
2017-08,451,78,2017
2017-09,316,64,2017
2017-10,317,69,2017
2017-11,201,58,2017
2017-12,183,61,2017
2018-01,199,61,2018
2018-02,236,64,2018
2018-03,332,82,2018
2018-04,461,96,2018
2018-05,589,113,2018
2018-06,550,109,2018
2018-07,662,120,2018
2018-08,762,127,2018
2018-09,690,138,2018
2018-10,706,136,2018
2018-11,474,130,2018
2018-12,386,115,2018
2019-01,398,116,2019
2019-02,388,119,2019
2019-03,585,144,2019
2019-04,748,164,2019
2019-05,840,173,2019
2019-06,941,181,2019
2019-07,957,201,2019
2019-08,1010,205,2019
2019-09,955,205,2019
2019-10,969,211,2019
2019-11,661,195,2019
2019-12,542,185,2019
2020-01,542,178,2020
2020-02,575,181,2020
2020-03,311,168,2020
2020-04,7,6,2020
2020-05,20,13,2020
2020-06,68,40,2020
2020-07,482,152,2020
2020-08,736,213,2020
2020-09,317,128,2020
2020-10,264,124,2020
2020-11,83,53,2020
2020-12,104,60,2020
2021-01,100,62,2021
2021-02,90,50,2021
2021-03,139,66,2021
2021-04,142,77,2021
2021-05,222,100,2021
2021-06,410,164,2021
2021-07,890,257,2021
2021-08,1235,306,2021
2021-09,803,256,2021
2021-10,858,263,2021
2021-11,776,247,2021
2021-12,600,241,2021
2022-01,494,206,2022
2022-02,576,233,2022
2022-03,729,255,2022
2022-04,1173,334,2022
2022-05,1243,337,2022
2022-06,1252,359,2022
2022-07,1721,425,2022
2022-08,1757,434,2022
2022-09,1358,394,2022
2022-10,1351,397,2022
2022-11,916,358,2022
2022-12,724,297,2022
2023-01,715,317,2023
2023-02,822,325,2023
2023-03,986,347,2023
2023-04,1472,439,2023
2023-05,1804,472,2023
2023-06,1653,493,2023
2023-07,2142,565,2023
2023-08,2376,576,2023
2023-09,1981,516,2023
2023-10,2038,540,2023
2023-11,1193,447,2023
2023-12,1029,421,2023
2024-01,873,402,2024
2024-02,1063,397,2024
2024-03,1555,528,2024
2024-04,1711,528,2024
2024-05,2132,615,2024
2024-06,1940,568,2024
2024-07,2366,661,2024
2024-08,2712,684,2024
2024-09,2070,598,2024
2024-10,2068,619,2024
2024-11,1452,565,2024
2024-12,1176,512,2024
2025-01,1085,474,2025
2025-02,1237,530,2025
2025-03,1599,575,2025
2025-04,2117,668,2025
2025-05,2586,765,2025
2025-06,2445,748,2025
2025-07,2909,854,2025
2025-08,3223,876,2025
2025-09,1895,659,2025
